hour_of_crash,sex,age
10,Male,49
6,Male,70
2,Male,50
9,Unknown,999
99,Female,72
16,Female,39
23,Female,18
6,Female,48
23,Male,23
19,Female,32
17,Male,80
16,Male,66
13,Female,60
3,Male,65
8,Male,30
15,Male,59
0,Unknown,999
22,Female,999
16,Male,37
2,Unknown,999
15,Male,21
19,Male,37
21,Male,21
14,Male,54
99,Unknown,999
22,Male,22
20,Female,44
2,Male,31
13,Female,23
14,Male,15
8,Male,25
20,Male,34
6,Male,44
0,Unknown,999
18,Unknown,999
99,Unknown,999
20,Male,53
14,Not Reported,2
19,Female,25
14,Female,15
0,Unknown,999
22,Male,46
23,Male,72
2,Male,24
0,Male,44
1,Unknown,999
19,Unknown,999
7,Male,51
18,Male,26
17,Male,61
14,Female,52
13,Male,41
9,Male,44
20,Unknown,999
12,Female,50
16,Female,31
16,Male,33
17,Female,13
17,Male,2
15,Unknown,999
3,Male,59
11,Male,59
21,Female,32
17,Female,22
13,Female,35
23,Unknown,999
3,Unknown,999
11,Unknown,999
20,Unknown,999
16,Unknown,999
3,Unknown,999
1,Male,999
18,Male,57
18,Female,73
18,Female,81
21,Male,50
2,Unknown,999
15,Female,34
23,Female,27
21,Female,54
21,Female,52
20,Male,56
18,Female,32
17,Not Reported,1
14,Male,64
23,Unknown,999
7,Unknown,999
21,Unknown,999
0,Unknown,999
17,Unknown,999
0,Unknown,999
1,Male,21
1,Male,23
6,Unknown,999
22,Female,998
22,Male,43
23,Male,48
23,Unknown,999
2,Unknown,999
18,Male,43
2,Female,23
0,Unknown,998
9,Female,70
14,Female,23
16,Male,35
1,Female,73
19,Unknown,999
23,Male,998
23,Male,58
22,Unknown,999
22,Male,999
0,Male,999
10,Male,24
16,Female,67
23,Unknown,999
4,Male,22
17,Male,999
13,Unknown,999
1,Male,24
12,Female,37
22,Male,21
18,Male,999
12,Male,44
17,Male,63
22,Male,8
22,Female,53
22,Female,30
20,Male,61
22,Male,2
18,Male,18
22,Female,4
22,Male,33
22,Female,10
2,Male,35
