zipcode,population
99776,124
38305,49808
37086,31513
41667,720
67001,1676
15738,265
28683,1697
97843,647
27504,14566
53536,8503
59535,74
33527,15203
07436,12754
75082,21182
11237,49896
17748,300
42501,17592
58755,129
83120,471
35119,116
24246,455
29162,4122
95628,40196
27315,2243
72644,2268
51446,511
00698,41782
84021,3323
87747,1624
29566,15179
35228,10419
28379,26388
15227,28156
67427,408
37220,5786
44103,18123
46701,7979
06241,6650
06058,1787
27530,40117
18816,128
70525,13150
83610,946
87711,753
42765,5840
42351,3851
41719,1043
48915,9218
16426,3730
73661,420
48097,5499
75054,5053
54513,478
74455,3158
08561,226
65770,3002
36522,7183
71439,1897
43357,4763
57471,674
99517,16645
33909,23119
13795,3800
75063,35090
75236,15949
48809,11015
88256,1925
87931,634
54456,6085
48747,1494
66512,3361
43973,1996
76402,847
49337,12088
35233,1308
55103,12991
14842,938
45769,6642
17972,11627
43456,608
98115,46206
49319,16181
77099,47091
36079,9339
07009,12411
29468,2107
24348,3958
12167,2438
85353,31011
81612,20
96058,798
31768,23617
28773,3378
73463,3501
65077,561
23833,2297
53575,15494
76011,21594
56327,803
77053,28954
44139,24356
64014,24797
35014,4546
07626,8537
36722,472
58654,289
68714,1224
04493,1967
56549,4508
58626,262
83342,1371
13845,83
06451,24419
33130,26108
72038,74
44654,19679
21136,33781
30627,2273
66607,10498
07701,23813
54082,1696
71417,4932
80755,163
68834,226
80246,12875
38367,2843
11557,7823
90012,31103
75976,827
50641,2017
76429,258
57625,4230
37313,1731
05906,1178
18656,2195
21754,6323
74085,2588
54653,894
58227,504
89008,1508
95825,31084
48224,44439
67260,0
72004,1311
13083,1809
44427,1612
29692,4856
93222,2099
35671,2107
56438,2949
78520,59408
34743,33632
70358,1296
26056,93
70714,19803
35023,25436
59633,206
84318,3918
25704,16441
40006,5084
11789,7895
23320,51797
11210,62008
83340,4682
10033,53926
62871,686
31071,1199
26617,187
03583,1107
23604,5720
97634,212
10456,86547
20814,27642
47112,16722
78671,654
93314,22393
49788,6609
37207,34880
99016,12480
30812,363
50862,148
67876,1156
21045,38288
60633,12927
88046,697
22967,1956
48649,1576
94592,742
27042,834
52037,1223
76469,96
50217,631
22438,463
49117,3951
83353,1335
33476,7669
92336,88419
66760,98
47610,5195
74553,1384
64439,1642
95303,912
15145,7132
31028,5912
48851,2365
49630,1429
77031,15762
14171,2077
75561,5395
31022,1424
72513,2856
24850,1093
33133,31926
71953,14882
88436,185
25086,928
85345,56208
62994,755
93292,39032
